
=== 12 件の日本語問い合わせを 3 通りで振り分け ===

| 構成 | 部署の正解率 | 緊急度のラベル一致率 | 合計時間 | うちオンデバイス | 入力トークン | コスト |
|---|---|---|---|---|---|---|
| A. Jev 単体（日本語のまま） | 92% | 75% | 3.87s | 0.00s | 6869 | $0.000288 |
| B. Foundation Models 単体 | 92% | 83% | 6.23s | 6.23s | 0 | $0 |
| C. FM で英語に整形 → Jev | 100% | 83% | 22.60s | 18.69s | 6949 | $0.000292 |

=== 1 件あたりの平均 ===

| 構成 | 平均レイテンシ |
|---|---|
| A | 0.32s |
| B | 0.52s |
| C | 1.88s |

=== サンプルごと（× は誤り） ===

| ID | 難所 | 正解 | A | conf | B | C | conf |
|---|---|---|---|---|---|---|---|
| s01 | 平易 | billing | **technical** × | 0.40 | **technical** × | billing | 0.89 |
| s02 | 平易 | technical | technical | 1.00 | technical | technical | 1.00 |
| s03 | 平易 | sales | sales | 1.00 | sales | sales | 1.00 |
| s04 | 平易 | account | account | 1.00 | account | account | 1.00 |
| s05 | 否定・スコープ語 | technical | technical | 0.85 | technical | technical | 0.56 |
| s06 | 否定・スコープ語 | billing | billing | 1.00 | billing | billing | 1.00 |
| s07 | 日付・数値 | billing | billing | 1.00 | billing | billing | 1.00 |
| s08 | 無関係な詳細 | technical | technical | 1.00 | technical | technical | 1.00 |
| s09 | 否定・スコープ語 | sales | sales | 0.67 | sales | sales | 0.41 |
| s10 | 平易 | technical | technical | 1.00 | technical | technical | 1.00 |
| s11 | 境界があいまい | account | account | 1.00 | account | account | 0.96 |
| s12 | 日付・数値 | billing | billing | 0.86 | billing | billing | 0.93 |
